Xa	Ya	Xr	Yr
-6.63	-3.72	-0.83	5.55
-6.63	-3.62	-0.11	5.02
-6.62	-3.54	0.36	4.29
-6.60	-3.47	0.45	3.53
-6.57	-3.43	0.78	2.27
-6.55	-3.41	0.53	1.16
-6.53	-3.42	0.52	-0.27
-6.52	-3.46	0.01	-1.38
-6.51	-3.49	0.01	-1.81
-6.50	-3.54	-0.08	-2.24
-6.49	-3.59	0.05	-2.05
-6.48	-3.62	-0.46	-1.68
-6.50	-3.65	-1.27	-1.14
-6.53	-3.66	-1.86	-0.35
-6.57	-3.66	-2.47	0.18
-6.62	-3.64	-3.04	0.79
-6.69	-3.62	-3.57	1.46
-6.75	-3.58	-3.63	1.97
-6.82	-3.54	-3.59	2.47
-6.90	-3.49	-4.08	2.53
-6.98	-3.43	-3.98	3.18
-7.05	-3.36	-3.31	3.34
-7.09	-3.30	-2.44	3.16
-7.12	-3.23	-1.49	2.75
-7.13	-3.19	-0.61	2.09
-7.13	-3.16	-0.59	1.20
-7.15	-3.15	-0.90	0.32
-7.17	-3.16	-1.17	-0.53
-7.18	-3.17	-0.90	-0.88
-7.18	-3.20	-0.57	-1.31
-7.17	-3.23	0.06	-1.32
-7.16	-3.26	0.28	-1.58
-7.16	-3.31	-0.19	-1.97
-7.18	-3.36	-0.64	-2.27
-7.20	-3.40	-0.82	-2.01
-7.20	-3.44	-0.44	-1.62
-7.19	-3.47	0.07	-1.29
-7.17	-3.51	0.88	-1.24
-7.14	-3.54	0.94	-1.08
-7.12	-3.56	0.82	-0.66
-7.11	-3.57	0.14	-0.23
-7.12	-3.57	-0.62	0.14
-7.14	-3.56	-1.07	0.60
-7.16	-3.56	-1.25	0.58
-7.17	-3.55	-1.09	0.78
-7.18	-3.53	-0.72	0.98
-7.19	-3.52	-0.68	0.77
-7.19	-3.50	-0.37	1.18
-7.19	-3.48	-0.22	1.23
-7.19	-3.46	-0.58	1.17
-7.21	-3.45	-0.73	0.81
-7.21	-3.44	-0.72	0.74
-7.22	-3.43	-0.67	0.41
-7.22	-3.42	-0.37	0.53
-7.22	-3.42	-0.26	0.31
-7.21	-3.42	0.06	0.21
-7.22	-3.42	-0.47	0.20
-7.23	-3.42	-0.39	0.07
-7.22	-3.42	0.09	0.17
-7.21	-3.42	0.33	0.12
-7.19	-3.43	0.62	-0.05
-7.18	-3.43	0.22	-0.07
-7.19	-3.44	-0.31	-0.45
-7.20	-3.46	-0.41	-0.50
-7.20	-3.45	-0.43	0.11
-7.19	-3.46	-0.31	-0.05
-7.19	-3.45	-0.15	0.11
-7.20	-3.46	-0.26	-0.18
-7.20	-3.47	-0.31	-0.04
-7.18	-3.48	0.23	-0.20
-7.18	-3.49	0.12	-0.45
-7.17	-3.50	0.05	-0.56
-7.17	-3.52	-0.10	-0.63
-7.18	-3.53	-0.66	-0.70
-7.20	-3.54	-1.03	-0.51
-7.20	-3.54	-0.71	-0.12
-7.20	-3.54	-0.26	0.21
-7.21	-3.54	-0.26	0.30
-7.20	-3.53	-0.08	0.59
-7.21	-3.53	-0.18	0.25
-7.21	-3.52	-0.54	0.22
-7.23	-3.53	-0.77	-0.15
-7.23	-3.54	-0.61	-0.51
-7.24	-3.56	-0.48	-0.86
-7.23	-3.59	0.01	-1.04
-7.22	-3.62	0.43	-0.96
-7.21	-3.64	0.36	-1.11
-7.20	-3.66	0.24	-0.93
-7.19	-3.68	0.41	-0.80
-7.18	-3.70	0.33	-0.79
-7.17	-3.73	0.38	-0.92
-7.15	-3.75	0.38	-0.89
-7.14	-3.77	0.44	-0.75
-7.12	-3.78	0.64	-0.30
-7.11	-3.79	0.23	-0.11
-7.10	-3.79	0.30	0.32
-7.10	-3.79	-0.28	0.26
-7.10	-3.79	-0.48	0.36
-7.09	-3.78	-0.03	0.51
-7.08	-3.77	0.09	0.59
-7.08	-3.77	-0.19	0.31
-7.09	-3.77	-0.66	0.11
-7.10	-3.77	-0.83	0.14
-7.10	-3.77	-0.57	0.24
-7.10	-3.76	-0.19	0.50
-7.10	-3.76	-0.07	0.16
-7.09	-3.77	0.18	-0.14
-7.10	-3.79	-0.14	-0.45
-7.11	-3.79	-0.44	-0.25
-7.11	-3.79	-0.30	0.23
-7.11	-3.78	0.09	0.46
-7.10	-3.76	0.20	0.91
-7.09	-3.73	0.41	1.04
-7.08	-3.71	0.08	0.89
-7.07	-3.70	0.40	0.50
-7.05	-3.71	0.24	-0.14
-7.04	-3.74	0.09	-1.12
-7.03	-3.79	-0.06	-1.92
-7.03	-3.83	-0.20	-2.15
-7.02	-3.88	0.06	-2.17
-7.02	-3.93	-0.27	-2.02
-7.02	-3.98	-0.38	-1.92
-7.02	-4.01	-0.21	-1.44
-7.02	-4.03	-0.01	-0.94
-7.01	-4.05	0.27	-0.46
-7.00	-4.05	0.24	0.22
-7.01	-4.02	-0.55	0.90
-7.03	-4.00	-1.30	1.04
-7.05	-3.98	-1.33	0.91
-7.07	-3.98	-1.44	0.35
-7.08	-3.99	-0.95	-0.31
-7.08	-4.01	-0.52	-0.82
-7.08	-4.02	0.04	-0.87
-7.09	-4.05	0.03	-1.38
-7.08	-4.10	0.24	-2.12
-7.07	-4.16	0.46	-2.61
-7.06	-4.22	0.61	-2.71
-7.03	-4.27	0.96	-2.39
-6.99	-4.32	1.44	-1.98
-6.95	-4.35	1.60	-1.68
-6.93	-4.39	1.03	-1.40
-6.92	-4.42	0.29	-1.07
-6.92	-4.43	-0.41	-0.54
-6.93	-4.44	-0.45	0.06
-6.92	-4.43	-0.13	0.75
-6.91	-4.42	0.14	1.07
-6.90	-4.40	-0.14	1.31
-6.91	-4.38	-0.49	1.41
-6.93	-4.35	-0.73	1.68
-6.93	-4.31	-0.78	1.96
-6.94	-4.28	-0.62	2.05
-6.95	-4.25	-0.79	1.70
-6.96	-4.22	-0.84	1.60
-6.97	-4.20	-0.92	1.21
-6.98	-4.19	-0.75	1.04
-6.99	-4.18	-0.62	0.79
-6.99	-4.17	-0.38	0.50
-6.99	-4.18	-0.11	0.16
-6.99	-4.18	-0.11	0.18
-6.99	-4.18	-0.01	0.24
-6.99	-4.17	0.18	0.62
-6.98	-4.15	0.16	1.02
-6.98	-4.13	0.03	1.31
-6.98	-4.10	-0.10	1.72
-6.97	-4.07	0.02	1.91
-6.98	-4.03	-0.52	2.10
-6.99	-3.98	-0.53	2.62
-6.99	-3.91	-0.70	3.14
-7.00	-3.85	-0.78	3.47
-7.01	-3.78	-1.02	3.18
-7.02	-3.72	-0.81	2.97
-7.02	-3.68	-0.61	2.28
-7.02	-3.64	-0.27	1.75
-7.02	-3.63	-0.36	0.90
-7.03	-3.63	-0.87	0.07
-7.04	-3.65	-0.74	-0.76
-7.05	-3.67	-0.56	-1.23
-7.03	-3.70	0.20	-1.45
-7.03	-3.73	0.20	-1.52
-7.02	-3.77	0.38	-1.65
-7.01	-3.80	0.72	-1.49
-6.98	-3.83	0.85	-1.24
-6.96	-3.85	1.09	-0.74
-6.94	-3.86	0.83	-0.18
-6.93	-3.86	0.45	0.08
-6.92	-3.85	0.22	0.46
-6.91	-3.84	0.13	1.05
-6.89	-3.80	0.25	1.65
-6.88	-3.77	0.13	1.76
-6.88	-3.74	-0.42	1.90
-6.90	-3.70	-0.99	1.88
-6.91	-3.67	-1.17	1.58
-6.93	-3.66	-1.31	1.10
-6.94	-3.64	-1.03	0.88
-6.94	-3.64	-0.53	0.13
-6.94	-3.65	-0.41	-0.23
-6.95	-3.66	-0.46	-0.70
-6.95	-3.69	-0.29	-1.07
-6.94	-3.73	0.05	-1.66
-6.93	-3.77	0.20	-1.92
-6.93	-3.81	0.28	-1.91
-6.92	-3.86	0.12	-1.92
-6.91	-3.89	0.34	-1.55
-6.91	-3.92	0.06	-1.11
-6.91	-3.93	0.06	-0.24
-6.90	-3.92	0.08	0.30
-6.90	-3.91	-0.32	0.69
-6.92	-3.89	-0.82	1.16
-6.94	-3.86	-1.07	1.72
-6.95	-3.83	-0.94	1.88
-6.95	-3.80	-0.44	1.78
-6.95	-3.78	-0.29	1.40
-6.95	-3.76	-0.19	1.08
-6.95	-3.76	-0.30	0.37
-6.94	-3.76	0.05	0.05
-6.93	-3.77	-0.02	-0.18
-6.94	-3.77	-0.17	-0.05
