Xa,Ya,Xr,Yr
-0.01,-0.01,-0.43,-0.19
-0.02,-0.01,-0.16,-0.16
-0.02,-0.02,-0.07,-0.28
-0.02,-0.03,-0.13,-0.16
-0.03,-0.04,-0.32,-0.21
-0.04,-0.04,-0.52,-0.15
-0.05,-0.05,-0.31,0.06
-0.05,-0.06,-0.21,0.01
-0.06,-0.07,-0.21,-0.19
-0.07,-0.08,-0.38,-0.10
-0.08,-0.10,-0.41,-0.32
-0.09,-0.11,-0.52,-0.05
-0.10,-0.12,-0.30,-0.08
-0.11,-0.14,-0.50,-0.14
-0.12,-0.16,-0.35,-0.37
-0.13,-0.19,-0.51,-0.52
-0.13,-0.20,-0.29,-0.15
-0.14,-0.23,-0.33,-0.38
-0.15,-0.25,-0.34,-0.10
-0.17,-0.27,-0.58,-0.24
-0.18,-0.29,-0.49,-0.01
-0.19,-0.31,-0.28,-0.22
-0.19,-0.33,-0.27,-0.19
-0.20,-0.36,-0.37,-0.08
-0.21,-0.38,-0.38,-0.29
-0.22,-0.41,-0.32,-0.18
-0.23,-0.43,-0.21,-0.04
-0.24,-0.46,-0.24,-0.35
-0.25,-0.49,-0.38,-0.15
-0.25,-0.52,-0.26,-0.24
-0.26,-0.55,-0.14,-0.24
-0.27,-0.58,-0.18,-0.17
-0.27,-0.61,0.05,-0.22
-0.28,-0.64,-0.26,-0.23
-0.29,-0.67,-0.38,-0.20
-0.29,-0.69,-0.15,0.08
-0.30,-0.72,-0.15,-0.08
-0.31,-0.75,-0.24,0.15
-0.31,-0.78,-0.18,-0.23
-0.32,-0.82,-0.29,-0.12
-0.33,-0.85,-0.24,-0.14
-0.34,-0.88,-0.49,-0.32
-0.35,-0.93,-0.46,-0.48
-0.37,-0.96,-0.46,-0.13
-0.38,-0.99,-0.41,-0.13
-0.39,-1.03,-0.26,-0.13
-0.39,-1.06,-0.11,-0.32
-0.40,-1.09,-0.17,-0.02
-0.41,-1.13,-0.34,-0.24
-0.42,-1.16,-0.42,0.03
-0.42,-1.20,-0.08,-0.04
-0.42,-1.23,-0.15,-0.22
-0.43,-1.27,-0.34,-0.13
-0.44,-1.30,-0.26,-0.11
-0.45,-1.34,-0.23,-0.23
-0.46,-1.37,-0.48,-0.06
-0.46,-1.42,-0.14,-0.24
-0.48,-1.46,-0.41,-0.25
-0.48,-1.49,-0.17,-0.04
-0.49,-1.52,-0.32,-0.04
-0.49,-1.56,-0.34,-0.03
-0.50,-1.59,-0.24,-0.08
-0.50,-1.62,-0.16,-0.13
-0.51,-1.66,-0.17,0.09
-0.52,-1.69,-0.39,-0.07
-0.53,-1.73,-0.44,-0.09
-0.54,-1.76,-0.31,-0.06
-0.54,-1.80,-0.23,0.04
-0.55,-1.83,-0.35,0.13
-0.56,-1.86,-0.18,-0.04
-0.56,-1.89,0.03,0.05
-0.56,-1.93,-0.12,-0.29
-0.57,-1.97,-0.34,-0.08
-0.58,-2.00,-0.19,-0.24
-0.58,-2.04,-0.32,-0.03
-0.59,-2.07,-0.17,-0.11
-0.59,-2.11,-0.33,-0.13
-0.60,-2.14,-0.23,0.00
-0.60,-2.18,-0.10,-0.17
-0.61,-2.22,-0.32,-0.18
-0.61,-2.25,-0.23,-0.13
-0.62,-2.29,-0.40,-0.36
-0.63,-2.33,-0.37,-0.32
-0.64,-2.36,-0.34,0.09
-0.64,-2.39,-0.11,0.05
-0.65,-2.43,-0.21,-0.07
-0.65,-2.46,-0.03,0.02
-0.65,-2.50,-0.25,-0.15
-0.65,-2.53,-0.20,-0.17
-0.66,-2.56,-0.16,0.09
-0.66,-2.59,-0.20,-0.07
-0.67,-2.62,-0.21,-0.02
-0.67,-2.65,-0.27,0.10
-0.67,-2.68,-0.10,0.06
-0.68,-2.72,-0.33,-0.07
-0.68,-2.75,-0.11,-0.07
-0.69,-2.78,-0.21,-0.03
-0.70,-2.81,-0.33,-0.01
-0.70,-2.84,-0.22,-0.07
-0.71,-2.87,-0.35,0.18
-0.72,-2.89,-0.41,0.26
-0.72,-2.92,-0.35,-0.01
-0.73,-2.95,-0.29,0.12
-0.73,-2.98,-0.28,-0.23
-0.74,-3.01,-0.39,0.03
-0.74,-3.04,-0.12,0.14
-0.75,-3.07,-0.43,-0.09
-0.76,-3.09,-0.23,-0.04
-0.76,-3.12,-0.33,-0.04
-0.76,-3.14,-0.16,0.26
-0.77,-3.17,-0.32,0.00
-0.77,-3.21,0.01,-0.41
-0.77,-3.23,-0.07,0.04
-0.77,-3.25,-0.29,-0.02
-0.78,-3.28,-0.44,-0.04
-0.78,-3.31,-0.22,0.02
-0.78,-3.33,-0.32,0.15
-0.79,-3.36,-0.29,0.17
-0.79,-3.38,-0.15,0.05
-0.80,-3.41,-0.21,0.08
-0.80,-3.43,-0.32,-0.02
-0.80,-3.45,-0.10,0.23
-0.81,-3.47,-0.25,0.20
-0.81,-3.50,-0.26,-0.06
-0.81,-3.52,-0.15,0.16
-0.81,-3.54,-0.15,0.00
-0.82,-3.57,-0.37,-0.01
-0.82,-3.59,-0.12,-0.00
-0.83,-3.61,-0.33,-0.00
-0.84,-3.63,-0.40,-0.02
-0.84,-3.66,-0.22,-0.06
-0.85,-3.68,-0.39,0.05
-0.85,-3.70,-0.16,0.13
-0.86,-3.72,-0.21,-0.22
-0.86,-3.75,-0.36,-0.10
-0.87,-3.77,-0.35,0.04
-0.87,-3.79,-0.29,0.06
-0.88,-3.81,-0.40,0.12
-0.88,-3.83,-0.21,0.03
-0.88,-3.84,-0.33,0.09
-0.89,-3.87,-0.21,-0.05
-0.89,-3.88,-0.27,0.01
-0.89,-3.91,-0.01,-0.04
-0.89,-3.93,-0.27,0.11
-0.89,-3.94,-0.16,0.44
-0.89,-3.95,-0.07,0.30
-0.89,-3.98,-0.18,-0.01
-0.89,-4.00,-0.25,-0.18
-0.90,-4.02,-0.52,0.23
-0.90,-4.03,-0.24,-0.01
-0.91,-4.05,-0.15,0.01
-0.91,-4.07,-0.14,0.09
-0.91,-4.08,-0.14,0.28
-0.91,-4.09,-0.12,0.19
-0.92,-4.11,-0.38,0.01
-0.92,-4.13,-0.28,-0.21
-0.92,-4.14,-0.08,0.23
-0.92,-4.16,-0.40,0.01
-0.93,-4.18,-0.29,0.07
-0.93,-4.19,-0.34,0.17
-0.93,-4.20,-0.19,0.30
-0.93,-4.22,-0.19,0.06
-0.93,-4.23,-0.25,0.21
-0.94,-4.25,-0.42,0.05
-0.94,-4.26,-0.36,0.12
-0.95,-4.28,-0.39,0.04
-0.95,-4.29,-0.28,-0.01
-0.95,-4.31,-0.15,-0.02
-0.96,-4.32,-0.42,0.10
-0.96,-4.33,-0.28,0.22
-0.96,-4.35,-0.39,0.12
-0.96,-4.35,-0.22,0.30
-0.97,-4.36,-0.19,0.27
-0.97,-4.37,-0.37,0.31
-0.97,-4.39,-0.23,0.03
-0.98,-4.40,-0.44,0.10
-0.98,-4.41,-0.28,0.00
-0.99,-4.43,-0.39,0.05
-0.99,-4.44,-0.39,0.10
-0.99,-4.45,-0.03,0.05
-0.99,-4.46,-0.41,0.23
-1.00,-4.48,-0.33,0.07
-0.99,-4.50,-0.19,-0.07
-0.99,-4.51,-0.24,-0.03
-0.99,-4.52,-0.25,0.16
-0.99,-4.53,-0.00,0.18
-0.99,-4.53,-0.22,0.50
-0.99,-4.55,-0.25,0.05
-0.99,-4.56,-0.09,0.13
-0.99,-4.57,-0.25,0.14
-0.99,-4.58,-0.15,0.25
-1.00,-4.59,-0.19,0.03
-1.00,-4.60,-0.36,-0.07
-1.00,-4.61,-0.33,0.11
-1.00,-4.62,-0.31,0.08
-1.00,-4.64,-0.20,0.05
-1.01,-4.64,-0.43,0.18
-1.01,-4.66,-0.40,0.24
-1.01,-4.67,-0.21,0.21
-1.01,-4.68,-0.07,0.14
-1.01,-4.68,-0.18,0.27
-1.01,-4.69,-0.08,0.21
-1.01,-4.70,-0.23,0.22
-1.01,-4.71,-0.31,0.02
-1.02,-4.72,-0.23,0.07
-1.02,-4.72,-0.38,0.26
-1.02,-4.73,-0.27,0.11
-1.02,-4.74,-0.07,0.09
-1.02,-4.74,-0.35,0.31
-1.02,-4.75,-0.10,0.22
-1.02,-4.76,-0.05,0.09
-1.02,-4.76,-0.24,0.39
-1.03,-4.77,-0.31,0.19
-1.03,-4.78,-0.32,-0.10
-1.03,-4.79,-0.14,0.18
-1.03,-4.79,-0.25,0.16
-1.03,-4.81,-0.13,0.07
-1.03,-4.82,-0.25,-0.03
-1.03,-4.82,-0.37,0.31
-1.04,-4.83,-0.22,0.10
-1.04,-4.84,-0.43,0.24
-1.04,-4.85,-0.26,0.16
-1.04,-4.85,-0.19,0.16
-1.03,-4.86,-0.17,0.15
-1.04,-4.86,-0.48,0.33
-1.05,-4.87,-0.58,0.11
-1.05,-4.88,-0.29,0.20
-1.05,-4.89,-0.32,0.03
-1.05,-4.89,-0.32,0.33
-1.05,-4.90,-0.26,0.23
-1.06,-4.90,-0.51,0.22
-1.06,-4.91,-0.29,0.11
-1.06,-4.91,-0.31,0.16
-1.06,-4.91,-0.32,0.33
-1.07,-4.92,-0.39,0.13
-1.07,-4.92,-0.15,0.27
-1.07,-4.93,-0.24,0.23
-1.06,-4.93,-0.13,0.28
-1.07,-4.94,-0.25,0.29
-1.06,-4.95,-0.01,0.05
-1.06,-4.95,-0.32,0.09
-1.06,-4.96,-0.34,0.21
-1.06,-4.97,-0.14,0.16
-1.06,-4.97,-0.35,0.17
-1.07,-4.98,-0.28,0.09
-1.07,-4.98,-0.19,0.33
-1.07,-4.98,-0.24,0.08
-1.06,-4.99,0.05,0.10
-1.06,-4.99,-0.09,0.27
-1.06,-5.00,-0.23,0.07
-1.06,-5.00,-0.42,0.16
-1.05,-5.01,0.03,-0.08
-1.05,-5.02,-0.11,0.19
-1.06,-5.02,-0.29,0.18
-1.06,-5.02,-0.09,0.23
-1.06,-5.03,-0.26,0.17
-1.07,-5.03,-0.33,0.22
-1.06,-5.04,-0.25,0.04
-1.06,-5.04,-0.01,0.16
-1.06,-5.05,-0.32,0.10
-1.06,-5.05,-0.21,0.04
-1.05,-5.06,0.01,0.14
-1.05,-5.06,-0.10,0.34
-1.05,-5.07,-0.23,0.06
-1.04,-5.07,-0.17,0.15
-1.05,-5.08,-0.30,0.16
-1.05,-5.08,-0.27,0.24
-1.05,-5.08,-0.09,0.29
-1.06,-5.09,-0.42,0.12
-1.05,-5.09,-0.21,0.12
-1.06,-5.09,-0.30,0.17
-1.06,-5.10,-0.32,0.12
-1.06,-5.10,-0.14,0.16
-1.06,-5.10,-0.19,0.22
-1.06,-5.11,-0.36,0.05
-1.06,-5.11,-0.32,0.10
-1.06,-5.12,-0.14,-0.01
-1.06,-5.12,-0.36,0.20
-1.07,-5.13,-0.50,0.15
-1.07,-5.14,-0.18,0.16
-1.07,-5.14,-0.37,0.18
-1.07,-5.14,-0.13,0.17
-1.07,-5.15,-0.25,-0.00
-1.07,-5.15,-0.19,0.15
-1.08,-5.15,-0.27,0.12
-1.08,-5.16,-0.39,0.16
-1.09,-5.16,-0.40,0.17
-1.09,-5.17,-0.33,0.11
-1.08,-5.17,-0.06,0.21
-1.08,-5.18,0.06,0.17
-1.07,-5.18,-0.13,0.16
-1.08,-5.19,-0.30,0.05
-1.07,-5.20,-0.14,0.03
-1.07,-5.20,0.00,0.09
-1.07,-5.21,-0.35,-0.02
-1.07,-5.22,-0.26,0.07
-1.07,-5.22,-0.19,0.16
-1.07,-5.22,-0.29,0.17
-1.07,-5.22,-0.25,0.19
-1.07,-5.23,-0.25,0.06
-1.07,-5.24,-0.25,-0.02
-1.07,-5.24,-0.19,0.25
-1.07,-5.24,-0.32,0.14
-1.07,-5.24,-0.21,0.18
-1.07,-5.24,-0.17,0.29
-1.07,-5.24,-0.31,0.38
-1.07,-5.24,-0.26,0.10
-1.07,-5.24,-0.14,0.30
-1.07,-5.24,-0.13,0.08
-1.07,-5.24,-0.23,0.10
-1.08,-5.24,-0.34,0.13
-1.08,-5.24,-0.21,0.36
-1.08,-5.24,-0.12,0.22
-1.08,-5.24,-0.29,0.28
-1.08,-5.25,-0.37,0.01
-1.08,-5.25,-0.15,0.23
-1.08,-5.25,-0.05,0.13
-1.08,-5.26,-0.12,-0.01
-1.08,-5.26,-0.41,0.21
-1.08,-5.26,-0.27,0.15
-1.08,-5.26,-0.07,0.06
-1.07,-5.26,-0.11,0.11
-1.07,-5.27,-0.11,-0.08
-1.07,-5.27,-0.29,0.16
-1.07,-5.27,-0.36,0.28
-1.08,-5.28,-0.40,0.07
-1.08,-5.28,-0.27,0.16
-1.08,-5.28,-0.31,0.17
-1.08,-5.28,-0.20,0.07
-1.08,-5.29,-0.42,0.09
-1.08,-5.29,-0.29,0.18
-1.09,-5.29,-0.31,0.25
-1.08,-5.29,-0.26,0.13
-1.09,-5.29,-0.26,0.12
-1.08,-5.30,-0.13,0.22
-1.08,-5.30,-0.23,0.12
-1.09,-5.30,-0.43,0.25
-1.09,-5.30,-0.15,0.31
-1.08,-5.30,-0.17,0.13
-1.08,-5.30,-0.24,0.23
-1.09,-5.31,-0.26,-0.04
-1.08,-5.31,-0.13,0.12
-1.08,-5.31,-0.07,0.29
-1.08,-5.32,-0.28,0.13
-1.08,-5.32,-0.21,0.16
-1.08,-5.32,-0.24,0.20
-1.09,-5.32,-0.43,0.08
-1.09,-5.32,-0.17,0.17
-1.09,-5.32,-0.12,0.20
-1.08,-5.32,-0.05,0.20
-1.08,-5.32,-0.18,0.13
-1.08,-5.32,-0.18,0.24
-1.09,-5.32,-0.49,0.14
-1.09,-5.32,-0.33,0.13
-1.09,-5.32,-0.33,0.17
-1.09,-5.33,-0.15,-0.11
-1.09,-5.33,-0.29,0.08
-1.09,-5.33,-0.27,0.06
-1.09,-5.33,-0.14,0.24
-1.09,-5.34,-0.23,0.05
-1.09,-5.34,-0.05,0.12
-1.09,-5.33,-0.24,0.25
-1.09,-5.33,-0.12,0.28
-1.09,-5.33,-0.07,0.13
-1.09,-5.33,-0.37,0.13
-1.09,-5.33,-0.13,0.13
-1.09,-5.33,-0.35,0.23
-1.09,-5.34,-0.16,0.29
-1.09,-5.34,-0.36,0.15
-1.09,-5.34,-0.20,0.11
-1.10,-5.34,-0.38,0.13
-1.09,-5.34,-0.04,0.29
-1.09,-5.34,-0.22,0.09
-1.09,-5.34,-0.20,0.18
-1.09,-5.34,-0.05,0.30
-1.09,-5.34,-0.22,0.21
-1.09,-5.34,-0.32,0.06
-1.09,-5.34,-0.27,0.30
-1.10,-5.34,-0.27,0.26
-1.10,-5.34,-0.25,0.13
-1.10,-5.34,-0.38,0.19
-1.11,-5.34,-0.50,0.18
-1.10,-5.35,0.00,0.06
-1.10,-5.34,-0.23,0.42
-1.10,-5.34,-0.12,0.15
-1.09,-5.34,-0.04,0.24
-1.09,-5.34,-0.10,0.25
-1.09,-5.34,-0.17,0.31
-1.09,-5.34,-0.21,0.20
-1.09,-5.35,-0.18,0.12
-1.09,-5.35,-0.25,0.13
-1.10,-5.35,-0.49,-0.01
-1.10,-5.36,-0.22,0.04
-1.10,-5.36,-0.27,0.12
-1.10,-5.36,-0.20,0.10
-1.11,-5.36,-0.36,0.23
-1.10,-5.36,-0.20,0.25
-1.10,-5.37,-0.23,0.13
-1.10,-5.36,-0.36,0.25
-1.10,-5.37,-0.14,-0.05
-1.10,-5.37,-0.13,0.06
-1.10,-5.37,-0.16,0.17
-1.10,-5.37,-0.13,0.24
-1.09,-5.37,-0.04,0.36
-1.09,-5.37,-0.29,0.14
-1.09,-5.37,-0.25,0.13
-1.09,-5.37,-0.37,0.18
-1.09,-5.37,-0.26,0.24
-1.10,-5.37,-0.37,0.09
-1.09,-5.37,-0.20,0.23
-1.09,-5.38,-0.12,0.19
-1.09,-5.37,-0.29,0.37
-1.09,-5.38,-0.18,0.07
-1.09,-5.38,-0.18,0.11
-1.09,-5.38,-0.19,0.13
-1.09,-5.38,-0.30,0.31
-1.09,-5.38,-0.19,0.14
-1.08,-5.38,-0.06,0.30
-1.08,-5.38,-0.15,0.15
-1.08,-5.38,-0.17,0.13
-1.08,-5.38,-0.30,0.06
-1.08,-5.38,-0.27,0.06
-1.08,-5.39,-0.20,-0.01
-1.08,-5.39,-0.12,0.17
-1.08,-5.39,-0.17,0.00
-1.08,-5.39,-0.43,0.05
-1.09,-5.39,-0.39,0.24
-1.09,-5.38,-0.16,0.33
-1.09,-5.39,-0.18,0.02
-1.08,-5.39,-0.07,0.28
-1.08,-5.39,-0.16,0.09
-1.08,-5.39,-0.13,0.19
-1.08,-5.39,-0.11,0.06
-1.08,-5.40,-0.17,0.09
-1.08,-5.40,-0.36,0.07
-1.08,-5.40,-0.22,0.12
-1.08,-5.39,-0.23,0.37
-1.08,-5.39,-0.29,0.28
-1.08,-5.39,-0.44,0.20
-1.08,-5.39,-0.18,0.13
-1.09,-5.39,-0.30,0.24
-1.09,-5.39,-0.31,0.13
-1.08,-5.39,-0.24,0.25
-1.08,-5.39,-0.31,0.07
-1.08,-5.39,-0.19,0.23
-1.08,-5.39,-0.12,0.20
-1.08,-5.39,-0.23,0.37
-1.08,-5.39,-0.36,0.09
-1.09,-5.39,-0.47,0.07
-1.10,-5.39,-0.46,0.18
-1.10,-5.39,-0.29,0.07
-1.10,-5.39,-0.31,0.30
-1.09,-5.39,-0.18,0.19
-1.09,-5.39,-0.24,0.24
-1.10,-5.39,-0.26,0.25
-1.10,-5.40,-0.31,0.07
-1.10,-5.40,-0.30,0.05
-1.10,-5.40,-0.25,0.12
-1.09,-5.40,-0.19,0.30
-1.10,-5.40,-0.54,-0.03
-1.10,-5.40,-0.12,-0.01
-1.09,-5.40,-0.16,0.30
-1.09,-5.40,-0.28,0.26
-1.09,-5.40,-0.31,0.26
-1.10,-5.40,-0.39,0.15
-1.10,-5.40,-0.39,0.18
-1.10,-5.40,-0.10,0.14
-1.10,-5.40,-0.18,0.24
-1.10,-5.40,-0.31,0.21
-1.10,-5.39,-0.02,0.26
-1.10,-5.40,-0.32,0.24
-1.10,-5.40,-0.26,0.01
-1.10,-5.40,-0.26,0.22
-1.10,-5.40,-0.26,0.13
-1.10,-5.40,-0.20,0.25
-1.11,-5.40,-0.44,0.09
-1.11,-5.40,-0.27,0.24
-1.11,-5.40,-0.20,0.27
-1.12,-5.39,-0.32,0.15
-1.12,-5.39,-0.33,0.24
-1.12,-5.40,-0.26,0.01
-1.11,-5.40,-0.02,0.10
