Cx,Cy,a2
-36,-163,77
-36,-160,77
-39,-157,76
-39,-155,75
-39,-153,75
-41,-150,74
-43,-146,73
-44,-144,73
-45,-142,72
-45,-139,72
-47,-136,70
-46,-132,70
-47,-129,69
-48,-127,69
-47,-124,69
-50,-121,67
-51,-117,66
-51,-115,66
-50,-112,65
-50,-107,64
-52,-104,63
-52,-100,62
-51,-100,62
-51,-96,62
-51,-92,61
-52,-88,59
-50,-85,59
-50,-84,59
-50,-79,57
-49,-74,56
-49,-72,55
-48,-68,54
-47,-66,54
-46,-61,52
-45,-56,51
-46,-53,49
-43,-52,50
-42,-46,47
-41,-43,46
-39,-39,45
-37,-37,45
-36,-34,43
-34,-31,42
-33,-26,38
-31,-24,37
-29,-22,37
-28,-19,34
-23,-16,34
-22,-12,28
-20,-10,26
-18,-8,23
-16,-5,17
-13,-1,4
-11,1,-5
-8,4,-26
-5,5,-45
-2,8,-75
1,11,-95
3,14,-102
5,14,-109
8,16,-116
11,19,-120
15,21,-125
17,23,-126
20,23,-131
23,25,-132
27,29,-132
30,29,-135
30,30,-135
36,32,-138
41,33,-141
42,34,-141
46,36,-141
47,35,-143
51,37,-144
56,37,-146
58,39,-146
61,40,-146
66,39,-149
70,39,-150
73,41,-150
76,40,-152
79,40,-153
81,42,-152
87,40,-155
90,41,-155
92,40,-156
95,41,-156
100,41,-157
104,40,-158
108,40,-159
111,40,-160
114,39,-161
118,39,-161
120,38,-162
121,37,-163
125,36,-163
129,36,-164
134,36,-164
136,35,-165
139,32,-167
143,32,-167
148,31,-168
151,30,-168
153,27,-169
155,25,-170
161,23,-171
164,22,-172
168,19,-173
169,19,-173
172,15,-175
178,12,-176
180,10,-176
183,8,-177
185,5,-178
189,2,-179
193,-1,179
195,-3,179
197,-7,177
201,-10,177
205,-13,176
207,-17,175
208,-20,174
210,-23,173
214,-28,172
217,-32,171
218,-33,171
220,-38,170
222,-43,169
225,-46,168
225,-49,167
226,-52,167
228,-57,165
230,-62,164
232,-66,164
232,-68,163
232,-72,162
234,-77,161
236,-81,161
235,-83,160
234,-88,159
235,-91,158
237,-96,157
237,-99,157
236,-101,156
236,-106,155
236,-110,155
237,-115,154
235,-117,153
234,-121,152
235,-126,151
235,-129,151
233,-133,150
232,-135,149
232,-140,148
231,-143,148
230,-147,147
228,-149,146
226,-154,145
225,-158,144
224,-161,144
223,-165,143
221,-168,142
219,-172,141
217,-174,141
216,-178,140
213,-181,139
211,-184,138
208,-189,137
208,-191,137
203,-193,136
201,-196,135
199,-199,135
196,-202,134
194,-204,133
190,-208,132
187,-211,131
184,-214,130
182,-215,130
177,-218,129
174,-221,128
171,-223,127
168,-224,126
164,-225,126
160,-228,125
155,-231,123
152,-233,123
150,-234,122
145,-236,121
138,-239,120
136,-240,119
132,-239,118
128,-240,118
123,-243,116
118,-243,115
116,-243,115
111,-244,114
106,-243,113
102,-244,112
98,-245,111
95,-245,111
89,-244,110
84,-245,108
82,-244,108
79,-245,107
75,-243,107
68,-243,105
65,-242,105
62,-242,104
58,-240,103
54,-238,102
51,-238,102
46,-237,100
43,-235,100
39,-233,99
33,-231,98
30,-229,97
27,-228,96
24,-225,96
18,-222,94
15,-219,93
12,-219,93
9,-216,92
6,-213,91
1,-211,90
-2,-208,89
-4,-206,88
-7,-202,88
-11,-199,86
-13,-197,86
-15,-194,85
-18,-192,84
-20,-187,83
-24,-183,82
-26,-182,81
-25,-177,81
-30,-174,80
-32,-169,79
-35,-166,78
-35,-163,77
-38,-160,76
-41,-154,75
-42,-151,74
-43,-149,73
-43,-145,73
-45,-138,71
-48,-134,70
-49,-131,69
-47,-128,69
-50,-122,67
-51,-118,66
-51,-114,65
-51,-111,65
-50,-106,64
-52,-100,62
-51,-97,62
-51,-94,61
-52,-89,59
-51,-85,59
-51,-79,57
-51,-76,56
-48,-74,57
-48,-68,54
-46,-63,53
-48,-60,51
-45,-58,52
-43,-53,50
-42,-48,48
-42,-44,46
-40,-42,46
-39,-40,45
-37,-35,43
-35,-31,41
-33,-28,40
-32,-26,39
-30,-23,37
-28,-19,34
-25,-17,34
-23,-15,33
-22,-11,26
-20,-7,19
-15,-6,21
-15,-5,18
-14,-2,8
-10,2,-11
-6,5,-39
-5,6,-50
-4,7,-60
1,10,-95
3,12,-104
5,15,-108
8,16,-116
10,18,-119
13,20,-123
17,22,-127
20,23,-131
23,26,-131
25,26,-133
29,29,-135
31,31,-135
34,30,-138
38,31,-140
42,33,-141
45,34,-142
48,36,-143
50,36,-144
54,37,-145
58,38,-146
62,39,-147
63,39,-148
67,39,-149
72,40,-150
75,41,-151
78,41,-152
81,41,-153
85,41,-154
90,42,-154
93,42,-155
95,42,-156
99,41,-157
104,41,-158
107,41,-159
110,39,-160
113,39,-160
117,38,-162
122,38,-162
124,36,-163
128,36,-164
134,34,-165
138,33,-166
